Mobile Number,Braodband Bills,Paid on Time
8949676056,2609,No
8022092125,2146,Yes
9788705081,2319,Yes
8648635773,2856,Yes
9438021953,2215,No
9175708551,759,No
9305924882,716,No
9874943959,3235,Yes
8007841272,2686,Yes
9882810517,2120,No
9781934807,3491,No
8366462291,2541,Yes
8260527639,2165,No
9873678657,2121,Yes
9468460031,1555,No
8890644222,2624,No
8708609784,2604,Yes
9475546260,3218,Yes
9511666469,2828,No
9628964088,3228,Yes
8506619896,1081,Yes
8655610406,1288,Yes
9770670186,3081,No
8187437650,727,Yes
8030312369,2618,No
9705938455,2620,Yes
8309371527,837,Yes
8552488024,1935,No
8472950977,1401,Yes
8955962374,771,No
9304964943,999,Yes
9032512844,2064,No
8573861018,2164,Yes
8788770660,2463,Yes
7987843071,1093,No
9460866515,2434,No
8991270863,1451,No
9569242294,1565,Yes
9645329498,746,Yes
8603614207,1027,Yes
8435767060,1392,No
8460140011,1402,Yes
9682080221,2154,No
8761694356,2143,Yes
9107783356,2903,Yes
9310639647,1694,No
7986546054,3218,Yes
8005096151,2048,Yes
7900249965,1573,No
8086575312,2932,No
8378183818,1285,No
8789043820,1768,Yes
9521612442,1609,No
9488975692,2293,Yes
9710654745,1449,Yes
9151604748,3041,Yes
9877637900,3465,Yes
8036486114,2784,No
8041555021,2359,Yes
8893604800,3397,No
9377658241,1997,Yes
9060337924,3441,No
9177658242,1955,No
8859865995,806,Yes
8915140926,1050,Yes
8694489644,1804,No
8720001327,1622,No
9220403200,3108,Yes
8273140425,1071,Yes
8318477188,849,No
8557350530,1303,Yes
7989725758,2239,No
9415740068,944,Yes
9281802879,1630,Yes
9100780418,1614,No
9470066149,2013,Yes
8341013477,1038,No
7945202157,2166,No
8697188106,2645,Yes
9796327885,2211,No
8573021564,2644,No
9056158979,2356,Yes
9705035259,1601,No
8281738596,3294,No
8586575168,2329,Yes
9020663702,2430,Yes
8104374925,1242,Yes
8495070161,3352,No
8976505880,1573,Yes
7910340089,2724,No
8575323879,1958,No
8369820555,1147,No
8477535922,3435,No
8835047672,1407,Yes
8362201580,1431,Yes
8083161822,2790,Yes
8308879198,3139,No
9535750846,2766,No
8989703460,1352,Yes
9574227947,1198,Yes
8497803620,2861,Yes
8742106194,993,No
8613603868,1313,Yes
9888691072,1833,Yes
9308980603,3269,No
8006699660,2769,Yes
9635457193,1777,Yes
8187087286,1486,No
9602730533,1532,Yes
9846798480,3356,No
8576213061,1760,Yes
9701739127,2947,No
9422694315,841,Yes
9772782638,1906,Yes
9789108009,2604,No
8169384382,3095,Yes
9647922235,2526,No
8264335005,2642,Yes
9191856767,2458,Yes
8917117039,2481,No
9036646902,2000,No
8539710307,2405,Yes
9676748915,3256,Yes
8614824595,2340,No
8864159843,1129,No
8015834568,1724,Yes
9081715626,3004,Yes
8056397475,2354,No
8330435575,3129,Yes
8330340388,2689,Yes
8517596760,3403,No
9074824435,1662,No
8757757002,1841,No
9826604787,1014,No
9047467204,2877,No
9838599427,3205,No
8929911583,3092,No
8482856064,3055,No
9789080815,2554,No
9593180039,1902,No
9499444315,1601,Yes
8039935864,2162,No
8774728667,2583,Yes
8167498075,3312,Yes
8504093012,3225,No
8524584066,2437,Yes
9732434563,3192,No
9419066128,2092,Yes
8181908335,2986,No
9571565226,3081,Yes
9142250623,2945,Yes
8774260138,3307,No
9802762608,1893,No
9351488863,1567,No
9038854730,1355,Yes
8988322227,2924,Yes
8359894130,1134,Yes
8942967353,1950,Yes
9667573120,2165,Yes
9793901528,1594,Yes
8257000794,906,Yes
9233181682,978,Yes
8386257281,2692,Yes
9667234256,3410,Yes
8683412314,2074,No
8551032924,2716,Yes
9353560134,2072,Yes
9599386972,783,No
9490033344,1225,Yes
8376890941,2608,No
8576967710,3311,Yes
9454433581,1467,No
8715489441,1685,No
8388177312,834,No
9397869063,2534,Yes
8894654052,3352,Yes
9493188056,1897,Yes
8488972270,1327,No
9214357436,2857,No
9120925407,2163,Yes
9480204271,3177,No
9082358022,2932,Yes
9347885323,1043,No
8545391756,2307,Yes
8106626384,2239,No
9668846506,1454,Yes
8421710185,2196,Yes
9438514836,1195,No
9065617546,2392,Yes
8301078829,1839,Yes
8325456911,2611,
9314138179,1896,Yes
8248653094,896,Yes
9059118833,3477,No
9158201410,3117,Yes
9292144268,826,Yes
9602480282,949,No
9562711384,1489,No
9317371757,1236,Yes
8090106090,1875,Yes
9677454240,827,Yes
9024890178,2815,No
9162745343,2996,No
8713835976,3108,Yes
8975722206,984,Yes
8275586210,2216,No
8332002904,1871,No
9805875064,2074,No
9527591194,1286,Yes
9249697820,2427,Yes
8497381265,2233,No
8709991056,1053,No
8682396642,1491,Yes
8614182550,1798,No
8920600860,2903,Yes
8904869684,1539,No
8063588601,1974,No
8436405241,1475,No
8707701901,3453,No
9464441713,2009,No
7972145426,2574,Yes
8148710502,1270,No
9022781182,962,No
8043686603,2049,No
8647580619,3287,Yes
8944327638,1780,No
9817087102,3192,Yes
8647318653,2310,No
8928952739,730,Yes
8953024968,1940,No
8763371699,822,No
9227725405,3324,Yes
8701847017,2224,Yes
9461810793,1068,No
8953994081,2317,No
8493600419,2898,No
7912393942,768,No
9245566479,1159,Yes
8432244425,1326,Yes
9765331211,3191,No
8432797771,3006,No
9485530730,3079,No
8039489075,3021,No
8540794537,3090,No
8892072588,2358,No
8515398771,1988,No
8369234702,2307,No
8478182344,2181,No
8902903545,843,Yes
8643669771,3188,Yes
8634257979,2524,No
8305119067,3176,Yes
8979299890,1917,No
9587688356,1032,No
9715652274,2512,Yes
8835536202,845,No
8046128056,3183,Yes
7910288088,802,Yes
9287165712,1504,Yes
9428411289,1337,Yes
9620157978,1575,No
8086335611,1203,Yes
9133501644,1067,Yes
8981334875,3475,No
9520349747,2176,Yes
8909366343,914,No
9750330940,836,No
9671324871,716,Yes
9173132739,2153,No
8494920927,2031,Yes
7908548125,2698,Yes
8521768128,2120,Yes
8264958281,1984,Yes
8379661082,2871,No
