Mobile Number,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,Credit Score
8949676056,1296599,5000,5000,4975, 36 months,10.65%,162.87,B,B2,659
8022092125,1314167,2500,2500,2500, 60 months,15.27%,59.83,C,C4,692
9788705081,1313524,2400,2400,2400, 36 months,15.96%,84.33,C,C5,850
8648635773,1277178,10000,10000,10000, 36 months,13.49%,339.31,C,C1,417
9438021953,1311748,3000,3000,3000, 60 months,12.69%,67.79,B,B5,532
9175708551,1311441,5000,5000,5000, 36 months,7.90%,156.46,A,A4,666
9305924882,1304742,7000,7000,7000, 60 months,15.96%,170.08,C,C5,614
9874943959,1288686,3000,3000,3000, 36 months,18.64%,109.43,E,E1,656
8007841272,1306957,5600,5600,5600, 60 months,21.28%,152.39,F,F2,534
9882810517,1306721,5375,5375,5350, 60 months,12.69%,121.45,B,B5,839
9781934807,1305201,6500,6500,6500, 60 months,14.65%,153.45,C,C3,401
8366462291,1305008,12000,12000,12000, 36 months,12.69%,402.54,B,B5,518
8260527639,1298717,9000,9000,9000, 36 months,13.49%,305.38,C,C1,405
9873678657,1304956,3000,3000,3000, 36 months,9.91%,96.68,B,B1,619
9468460031,1303503,10000,10000,10000, 36 months,10.65%,325.74,B,B2,821
8890644222,1304871,1000,1000,1000, 36 months,16.29%,35.31,D,D1,881
8708609784,1299699,10000,10000,10000, 36 months,15.27%,347.98,C,C4,698
9475546260,1304884,3600,3600,3600, 36 months,6.03%,109.57,A,A1,491
9511666469,1294539,6000,6000,6000, 36 months,11.71%,198.46,B,B3,557
9628964088,1304855,9200,9200,9200, 36 months,6.03%,280.01,A,A1,604
8506619896,1284848,20250,20250,19142.16108, 60 months,15.27%,484.63,C,C4,679
8655610406,1269083,21000,21000,21000, 36 months,12.42%,701.73,B,B4,477
9770670186,1304821,10000,10000,10000, 36 months,11.71%,330.76,B,B3,651
8187437650,1304810,10000,10000,10000, 36 months,11.71%,330.76,B,B3,657
8030312369,1304634,6000,6000,6000, 36 months,11.71%,198.46,B,B3,835
9705938455,1273773,15000,15000,15000, 36 months,9.91%,483.38,B,B1,467
8309371527,1304679,15000,15000,8725, 36 months,14.27%,514.64,C,C2,663
8552488024,1304764,5000,5000,5000, 60 months,16.77%,123.65,D,D2,665
8472950977,1304678,4000,4000,4000, 36 months,11.71%,132.31,B,B3,404
8955962374,1278806,8500,8500,8500, 36 months,11.71%,281.15,B,B3,542
9304964943,1261745,4375,4375,4375, 36 months,7.51%,136.11,A,A3,633
9032512844,1304608,31825,31825,31825, 36 months,7.90%,995.82,A,A4,720
8573861018,1299514,10000,10000,9975, 60 months,15.96%,242.97,C,C5,695
8788770660,1304289,5000,5000,5000, 36 months,8.90%,158.77,A,A5,664
7987843071,1291365,7000,7000,7000, 36 months,15.96%,245.97,C,C5,544
9460866515,1304589,12400,12400,12400, 36 months,10.65%,403.91,B,B2,649
8991270863,1304255,10800,10800,10800, 36 months,9.91%,348.03,B,B1,889
9569242294,1304251,15000,15000,15000, 36 months,7.90%,469.36,A,A4,475
9645329498,1304250,6000,6000,6000, 36 months,12.42%,200.5,B,B4,743
8603614207,1304237,12500,12500,12475, 60 months,12.69%,282.44,B,B5,425
8435767060,1301955,9600,9600,9600, 36 months,7.51%,298.67,A,A3,543
8460140011,1304567,12000,12000,12000, 36 months,7.90%,375.49,A,A4,859
9682080221,1304202,3000,3000,3000, 36 months,18.25%,108.84,D,D5,670
8761694356,1292332,4400,4400,4400, 36 months,16.77%,156.37,D,D2,831
9107783356,1304526,6000,6000,6000, 36 months,6.03%,182.62,A,A1,424
9310639647,1282787,14000,14000,14000, 36 months,9.91%,451.15,B,B1,508
7986546054,1304521,5000,5000,5000, 36 months,8.90%,158.77,A,A5,459
