Mobile Number,Braodband Bills,Paid on Time,Score
8949676056,2609,No,502
8022092125,2146,Yes,716
9788705081,2319,Yes,754
8648635773,2856,Yes,790
9438021953,2215,No,594
9175708551,759,No,310
9305924882,716,No,384
9874943959,3235,Yes,884
8007841272,2686,Yes,832
9882810517,2120,No,413
9781934807,3491,No,637
8366462291,2541,Yes,779
8260527639,2165,No,455
9873678657,2121,Yes,684
9468460031,1555,No,406
8890644222,2624,No,508
8708609784,2604,Yes,781
9475546260,3218,Yes,850
9511666469,2828,No,555
9628964088,3228,Yes,856
8506619896,1081,Yes,582
8655610406,1288,Yes,503
9770670186,3081,No,602
8187437650,727,Yes,573
8030312369,2618,No,544
9705938455,2620,Yes,825
8309371527,837,Yes,575
8552488024,1935,No,475
8472950977,1401,Yes,582
8955962374,771,No,328
9304964943,999,Yes,592
9032512844,2064,No,469
8573861018,2164,Yes,732
8788770660,2463,Yes,779
7987843071,1093,No,309
9460866515,2434,No,507
8991270863,1451,No,357
9569242294,1565,Yes,748
9645329498,746,Yes,590
8603614207,1027,Yes,523
8435767060,1392,No,392
8460140011,1402,Yes,583
9682080221,2154,No,409
8761694356,2143,Yes,675
9107783356,2903,Yes,761
9310639647,1694,No,449
7986546054,3218,Yes,899
8005096151,2048,Yes,715
7900249965,1573,No,439
8086575312,2932,No,524
8378183818,1285,No,345
8789043820,1768,Yes,652
9521612442,1609,No,479
9488975692,2293,Yes,808
9710654745,1449,Yes,502
9151604748,3041,Yes,894
9877637900,3465,Yes,873
8036486114,2784,No,600
8041555021,2359,Yes,823
8893604800,3397,No,661
9377658241,1997,Yes,693
9060337924,3441,No,636
9177658242,1955,No,434
8859865995,806,Yes,587
8915140926,1050,Yes,529
8694489644,1804,No,408
8720001327,1622,No,500
9220403200,3108,Yes,866
8273140425,1071,Yes,585
8318477188,849,No,367
8557350530,1303,Yes,579
7989725758,2239,No,563
9415740068,944,Yes,549
9281802879,1630,Yes,660
9100780418,1614,No,452
9470066149,2013,Yes,705
8341013477,1038,No,319
7945202157,2166,No,421
8697188106,2645,Yes,802
9796327885,2211,No,503
8573021564,2644,No,564
9056158979,2356,Yes,759
9705035259,1601,No,438
8281738596,3294,No,654
8586575168,2329,Yes,788
9020663702,2430,Yes,796
8104374925,1242,Yes,527
8495070161,3352,No,700
8976505880,1573,Yes,732
7910340089,2724,No,588
8575323879,1958,No,472
8369820555,1147,No,340
8477535922,3435,No,671
8835047672,1407,Yes,598
8362201580,1431,Yes,580
8083161822,2790,Yes,782
8308879198,3139,No,621
9535750846,2766,No,509
8989703460,1352,Yes,580
9574227947,1198,Yes,547
8497803620,2861,Yes,784
8742106194,993,No,398
8613603868,1313,Yes,500
9888691072,1833,Yes,676
9308980603,3269,No,614
8006699660,2769,Yes,828
9635457193,1777,Yes,653
8187087286,1486,No,354
9602730533,1532,Yes,745
9846798480,3356,No,660
8576213061,1760,Yes,748
9701739127,2947,No,577
9422694315,841,Yes,588
9772782638,1906,Yes,713
9789108009,2604,No,501
8169384382,3095,Yes,900
9647922235,2526,No,547
8264335005,2642,Yes,792
9191856767,2458,Yes,756
8917117039,2481,No,542
9036646902,2000,No,452
8539710307,2405,Yes,783
9676748915,3256,Yes,875
8614824595,2340,No,556
8864159843,1129,No,323
8015834568,1724,Yes,703
9081715626,3004,Yes,899
8056397475,2354,No,578
8330435575,3129,Yes,897
8330340388,2689,Yes,799
8517596760,3403,No,652
9074824435,1662,No,452
8757757002,1841,No,449
9826604787,1014,No,387
9047467204,2877,No,575
9838599427,3205,No,621
8929911583,3092,No,618
8482856064,3055,No,668
9789080815,2554,No,575
9593180039,1902,No,454
9499444315,1601,Yes,725
8039935864,2162,No,468
8774728667,2583,Yes,780
8167498075,3312,Yes,887
8504093012,3225,No,649
8524584066,2437,Yes,782
9732434563,3192,No,673
9419066128,2092,Yes,688
8181908335,2986,No,597
9571565226,3081,Yes,860
9142250623,2945,Yes,762
8774260138,3307,No,621
9802762608,1893,No,474
9351488863,1567,No,479
9038854730,1355,Yes,581
8988322227,2924,Yes,812
8359894130,1134,Yes,587
8942967353,1950,Yes,662
9667573120,2165,Yes,667
9793901528,1594,Yes,662
8257000794,906,Yes,518
9233181682,978,Yes,595
8386257281,2692,Yes,750
9667234256,3410,Yes,875
8683412314,2074,No,408
8551032924,2716,Yes,790
9353560134,2072,Yes,691
9599386972,783,No,318
9490033344,1225,Yes,570
8376890941,2608,No,522
8576967710,3311,Yes,894
9454433581,1467,No,362
8715489441,1685,No,463
8388177312,834,No,309
9397869063,2534,Yes,761
8894654052,3352,Yes,898
9493188056,1897,Yes,749
8488972270,1327,No,358
9214357436,2857,No,540
9120925407,2163,Yes,672
9480204271,3177,No,633
9082358022,2932,Yes,800
9347885323,1043,No,377
8545391756,2307,Yes,828
8106626384,2239,No,541
9668846506,1454,Yes,548
8421710185,2196,Yes,661
9438514836,1195,No,366
9065617546,2392,Yes,844
8301078829,1839,Yes,667
8325456911,2611,,313
9314138179,1896,Yes,742
8248653094,896,Yes,539
9059118833,3477,No,664
9158201410,3117,Yes,888
9292144268,826,Yes,518
9602480282,949,No,312
9562711384,1489,No,385
9317371757,1236,Yes,573
8090106090,1875,Yes,718
9677454240,827,Yes,533
9024890178,2815,No,548
9162745343,2996,No,558
8713835976,3108,Yes,899
8975722206,984,Yes,550
8275586210,2216,No,563
8332002904,1871,No,406
9805875064,2074,No,401
9527591194,1286,Yes,506
9249697820,2427,Yes,782
8497381265,2233,No,512
8709991056,1053,No,328
8682396642,1491,Yes,528
8614182550,1798,No,452
8920600860,2903,Yes,816
8904869684,1539,No,403
8063588601,1974,No,430
8436405241,1475,No,355
8707701901,3453,No,626
9464441713,2009,No,426
7972145426,2574,Yes,780
8148710502,1270,No,370
9022781182,962,No,326
8043686603,2049,No,445
8647580619,3287,Yes,883
8944327638,1780,No,467
9817087102,3192,Yes,882
8647318653,2310,No,583
8928952739,730,Yes,512
8953024968,1940,No,402
8763371699,822,No,386
9227725405,3324,Yes,858
8701847017,2224,Yes,836
9461810793,1068,No,337
8953994081,2317,No,538
8493600419,2898,No,570
7912393942,768,No,317
9245566479,1159,Yes,590
8432244425,1326,Yes,539
9765331211,3191,No,632
8432797771,3006,No,671
9485530730,3079,No,619
8039489075,3021,No,613
8540794537,3090,No,604
8892072588,2358,No,529
8515398771,1988,No,485
8369234702,2307,No,580
8478182344,2181,No,487
8902903545,843,Yes,599
8643669771,3188,Yes,900
8634257979,2524,No,533
8305119067,3176,Yes,872
8979299890,1917,No,482
9587688356,1032,No,314
9715652274,2512,Yes,760
8835536202,845,No,385
8046128056,3183,Yes,878
7910288088,802,Yes,545
9287165712,1504,Yes,687
9428411289,1337,Yes,506
9620157978,1575,No,423
8086335611,1203,Yes,599
9133501644,1067,Yes,507
8981334875,3475,No,668
9520349747,2176,Yes,687
8909366343,914,No,397
9750330940,836,No,314
9671324871,716,Yes,593
9173132739,2153,No,440
8494920927,2031,Yes,742
7908548125,2698,Yes,841
8521768128,2120,Yes,678
8264958281,1984,Yes,750
8379661082,2871,No,595
9295936038,2208,Yes,816
8509399532,1537,No,465
9326382215,2839,Yes,848
9067037402,2071,Yes,746
9425477213,774,No,318
8663875862,1757,Yes,691
7956433402,1697,Yes,660
8154245668,1273,Yes,532
8571197032,2077,No,430
9876861057,1852,Yes,693
9509935812,1584,No,435
9540904489,2398,No,562
8489356860,2928,No,597
9317978199,3109,Yes,863
9694786584,2516,No,510
8767893335,1059,Yes,571
8486294772,3341,No,619
8864825497,939,No,354
9133444429,3361,No,698
9648765908,1511,Yes,667
9626524365,3210,Yes,883
9540809217,2798,Yes,819
9473172027,1862,Yes,735
8653463842,1650,No,448
8735431228,2322,No,551
8945890478,2558,No,564
8227982295,1570,No,444
8489445353,2994,Yes,816
9339868245,1735,Yes,652
8354896279,3253,Yes,858
8173474259,3217,Yes,859
9174527473,3387,No,602
8728777066,2562,Yes,834
8354063407,3422,No,611
8918120953,1183,No,345
9875925021,1775,No,491
8161556403,3111,Yes,872
9823766103,2779,Yes,826
9481209726,988,Yes,546
9069909722,2120,Yes,720
8883254184,2584,Yes,815
9805800687,1459,Yes,521
8146419733,1716,No,491
9250949567,2073,Yes,728
9110066275,2374,No,595
9787527093,2967,No,508
9569504202,2029,Yes,731
8909416281,2302,No,541
9073963220,3190,No,644
8599037414,2257,Yes,752
8459065365,2445,No,504
9773047782,3175,Yes,886
8043404063,3339,No,652
9596390652,1402,No,323
7938263186,1248,No,308
8814837169,1170,Yes,563
9398962943,2515,,333
8492287953,1236,Yes,591
9737009175,3102,No,678
8393314559,2975,No,584
9718276680,1014,No,349
9032229224,2427,Yes,829
7972494262,2946,Yes,753
9111415256,1067,No,394
8370220579,1789,No,433
8222594372,3029,No,600
8921787088,2204,Yes,782
9064121209,3232,No,685
8912211613,1145,Yes,539
8897337222,1100,No,386
9057167917,1355,No,372
9758921712,2407,No,502
8556015061,1959,No,500
9787617620,2811,Yes,762
8237531668,1568,No,419
9106415207,2975,No,584
9423174914,1226,Yes,504
8377817039,2375,Yes,777
9504917180,2163,Yes,667
8947673014,3412,No,687
9092523683,1159,No,390
8263027426,3213,Yes,863
8379988189,3014,Yes,893
7917057747,1731,No,499
9078993202,2922,No,546
7929748831,1634,Yes,712
8059354442,1574,Yes,711
8354269268,881,No,391
8545159042,3172,Yes,858
8833643939,2796,Yes,823
7941414897,879,No,381
7949092576,1332,Yes,537
8655942048,2964,Yes,780
7926134002,850,Yes,583
7974688386,1957,No,471
9800929344,2538,No,587
8908620149,981,No,374
8434405540,2392,Yes,751
9730467318,1149,Yes,506
8802532585,2471,Yes,763
9675941619,2916,No,531
8568809189,1779,No,418
9110360314,3136,No,665
8390567346,1298,Yes,553
