Mobile Number,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,Credit Score,Average Score
8949676056,1296599,5000,5000,4975,36 months,10.65%,162.87,B,B2,659,530
8022092125,1314167,2500,2500,2500,60 months,15.27%,59.83,C,C4,692,609
9788705081,1313524,2400,2400,2400,36 months,15.96%,84.33,C,C5,850,514
8648635773,1277178,10000,10000,10000,36 months,13.49%,339.31,C,C1,417,663
9438021953,1311748,3000,3000,3000,60 months,12.69%,67.79,B,B5,532,653
9175708551,1311441,5000,5000,5000,36 months,7.90%,156.46,A,A4,666,559
9305924882,1304742,7000,7000,7000,60 months,15.96%,170.08,C,C5,614,634
9874943959,1288686,3000,3000,3000,36 months,18.64%,109.43,E,E1,656,727
8007841272,1306957,5600,5600,5600,60 months,21.28%,152.39,F,F2,534,692
9882810517,1306721,5375,5375,5350,60 months,12.69%,121.45,B,B5,839,607
9781934807,1305201,6500,6500,6500,60 months,14.65%,153.45,C,C3,401,583
8366462291,1305008,12000,12000,12000,36 months,12.69%,402.54,B,B5,518,635
8260527639,1298717,9000,9000,9000,36 months,13.49%,305.38,C,C1,405,666
9873678657,1304956,3000,3000,3000,36 months,9.91%,96.68,B,B1,619,621
9468460031,1303503,10000,10000,10000,36 months,10.65%,325.74,B,B2,821,503
8890644222,1304871,1000,1000,1000,36 months,16.29%,35.31,D,D1,881,563
8708609784,1299699,10000,10000,10000,36 months,15.27%,347.98,C,C4,698,682
9475546260,1304884,3600,3600,3600,36 months,6.03%,109.57,A,A1,491,620
9511666469,1294539,6000,6000,6000,36 months,11.71%,198.46,B,B3,557,680
9628964088,1304855,9200,9200,9200,36 months,6.03%,280.01,A,A1,604,625
8506619896,1284848,20250,20250,19142.16108,60 months,15.27%,484.63,C,C4,679,604
8655610406,1269083,21000,21000,21000,36 months,12.42%,701.73,B,B4,477,571
9770670186,1304821,10000,10000,10000,36 months,11.71%,330.76,B,B3,651,623
8187437650,1304810,10000,10000,10000,36 months,11.71%,330.76,B,B3,657,589
8030312369,1304634,6000,6000,6000,36 months,11.71%,198.46,B,B3,835,694
9705938455,1273773,15000,15000,15000,36 months,9.91%,483.38,B,B1,467,650
8309371527,1304679,15000,15000,8725,36 months,14.27%,514.64,C,C2,663,510
