Mobile Number,Qualification,Score
8949676056,PG,709
8022092125,PG,683
9788705081,G,546
8648635773,UG,432
9438021953,PG,770
9175708551,PG,853
9305924882,PG,697
9874943959,G,453
8007841272,UG,456
9882810517,UG,419
9781934807,G,453
8366462291,G,455
8260527639,PG,804
9873678657,PG,872
9468460031,,312
8890644222,PG,677
8708609784,PG,650
9475546260,G,408
9511666469,G,568
9628964088,G,465
8506619896,PG,769
8655610406,G,628
9770670186,G,586
8187437650,PG,740
8030312369,PG,864
9705938455,PG,745
8309371527,G,616
8552488024,PG,863
8472950977,G,509
8955962374,PG,831
9304964943,G,556
9032512844,PG,683
8573861018,UG,453
8788770660,G,488
7987843071,UG,342
9460866515,G,583
8991270863,G,601
9569242294,PG,784
9645329498,UG,385
8603614207,G,532
8435767060,G,589
8460140011,UG,443
9682080221,PG,731
8761694356,PG,656
9107783356,G,565
9310639647,PG,875
7986546054,UG,327
8005096151,UG,444
7900249965,G,562
8086575312,G,682
8378183818,PG,655
8789043820,PG,735
9521612442,PG,800
9488975692,PG,793
9710654745,UG,468
9151604748,PG,731
9877637900,G,452
8036486114,PG,813
8041555021,G,527
8893604800,G,681
9377658241,UG,465
9060337924,PG,854
9177658242,G,679
8859865995,PG,831
8915140926,G,690
8694489644,UG,368
8720001327,UG,350
9220403200,PG,791
8273140425,PG,701
8318477188,G,447
8557350530,G,448
7989725758,G,528
9415740068,PG,733
9281802879,PG,685
9100780418,G,505
9470066149,UG,435
8341013477,UG,421
7945202157,UG,307
8697188106,PG,668
9796327885,G,644
8573021564,G,670
9056158979,UG,375
9705035259,UG,469
8281738596,G,438
8586575168,G,613
9020663702,G,475
8104374925,G,595
8495070161,UG,435
8976505880,G,551
7910340089,PG,836
8575323879,PG,653
8369820555,PG,863
8477535922,UG,372
8835047672,G,687
8362201580,G,414
8083161822,UG,345
8308879198,G,567
9535750846,PG,741
8989703460,UG,438
9574227947,G,426
8497803620,G,645
8742106194,G,429
8613603868,UG,377
9888691072,G,433
9308980603,PG,825
8006699660,PG,781
9635457193,UG,372
8187087286,G,530
9602730533,UG,443
9846798480,PG,808
8576213061,UG,444
9701739127,G,624
9422694315,PG,794
9772782638,G,421
9789108009,UG,491
8169384382,UG,420
9647922235,PG,780
8264335005,G,595
9191856767,UG,381
8917117039,PG,810
9036646902,PG,810
8539710307,UG,328
9676748915,G,578
8614824595,G,581
8864159843,G,572
8015834568,UG,357
9081715626,UG,440
8056397475,UG,448
8330435575,UG,395
8330340388,UG,463
8517596760,G,419
9074824435,PG,778
8757757002,G,426
9826604787,G,437
9047467204,PG,863
9838599427,G,576
8929911583,G,453
8482856064,G,625
9789080815,G,444
9593180039,UG,382
9499444315,G,558
8039935864,G,568
8774728667,UG,436
8167498075,G,695
8504093012,G,489
8524584066,PG,652
9732434563,PG,804
9419066128,G,536
8181908335,UG,338
9571565226,UG,303
9142250623,G,625
8774260138,G,454
9802762608,UG,356
9351488863,G,408
9038854730,PG,867
8988322227,UG,421
8359894130,UG,465
8942967353,PG,868
9667573120,PG,768
9793901528,PG,807
8257000794,PG,873
9233181682,G,525
8386257281,UG,325
9667234256,PG,879
8683412314,PG,893
8551032924,G,465
9353560134,PG,716
9599386972,UG,340
9490033344,PG,763
8376890941,G,625
8576967710,UG,445
9454433581,G,645
8715489441,UG,316
8388177312,PG,848
9397869063,G,547
8894654052,PG,881
9493188056,PG,713
8488972270,PG,854
9214357436,G,452
9120925407,G,459
9480204271,PG,676
9082358022,G,468
9347885323,UG,456
8545391756,UG,464
8106626384,G,628
9668846506,PG,813
8421710185,G,431
9438514836,G,611
9065617546,G,646
8301078829,G,652
8325456911,PG,653
9314138179,UG,465
8248653094,UG,322
9059118833,UG,463
9158201410,G,610
9292144268,PG,793
9602480282,G,617
9562711384,G,497
9317371757,PG,809
8090106090,G,497
9677454240,UG,389
9024890178,G,597
9162745343,UG,494
8713835976,G,531
8975722206,G,654
8275586210,G,434
8332002904,PG,844
9805875064,UG,457
9527591194,UG,465
9249697820,G,525
8497381265,UG,489
8709991056,G,696
8682396642,UG,497
8614182550,G,427
8920600860,G,622
8904869684,G,507
8063588601,UG,378
8436405241,G,448
8707701901,G,629
9464441713,G,698
7972145426,UG,428
8148710502,G,460
9022781182,UG,420
8043686603,UG,495
8647580619,G,530
8944327638,G,579
9817087102,UG,485
8647318653,UG,350
8928952739,G,645
8953024968,G,634
8763371699,G,407
9227725405,UG,343
8701847017,PG,668
9461810793,G,436
8953994081,PG,722
8493600419,PG,670
7912393942,G,478
9245566479,PG,756
8432244425,UG,345
9765331211,PG,784
8432797771,G,471
9485530730,UG,457
8039489075,G,482
8540794537,G,534
8892072588,UG,443
8515398771,UG,425
8369234702,PG,879
8478182344,G,469
8902903545,PG,846
8643669771,PG,766
8634257979,PG,651
8305119067,UG,446
8979299890,PG,707
9587688356,G,502
9715652274,PG,821
8835536202,PG,835
8046128056,PG,661
7910288088,UG,499
9287165712,PG,796
9428411289,PG,792
9620157978,UG,476
8086335611,PG,891
9133501644,UG,307
8981334875,UG,338
9520349747,UG,429
8909366343,UG,460
