Mobile Number,Occupation,Salary
8949676056,Private Sector,1869208
8022092125,Public Sector,532200
9788705081,Private Sector,367097
8648635773,Public Sector,1584785
9438021953,Private Sector,243447
9175708551,Private Sector,609596
9305924882,Private Sector,1585036
9874943959,Public Sector,916177
8007841272,Public Sector,1093600
9882810517,Government,1870876
9781934807,Private Sector,1800667
8366462291,Private Sector,1719384
8260527639,Private Sector,456583
9873678657,Public Sector,89986
9468460031,Private Sector,1419429
8890644222,Public Sector,508282
8708609784,Private Sector,1170098
9475546260,Public Sector,68356
9511666469,Government,647165
9628964088,Private Sector,630412
8506619896,Government,1833074
8655610406,Public Sector,1482298
9770670186,Public Sector,853618
8187437650,Public Sector,1323403
8030312369,Government,1796295
9705938455,Private Sector,1502232
8309371527,Private Sector,136708
8552488024,Government,982879
8472950977,Private Sector,335176
8955962374,Government,309434
9304964943,Public Sector,1609624
9032512844,Private Sector,1225487
8573861018,Public Sector,102943
8788770660,Private Sector,1836195
7987843071,Public Sector,1148334
9460866515,Public Sector,1482499
8991270863,Public Sector,1598368
9569242294,Public Sector,1750560
9645329498,Public Sector,1878914
8603614207,Public Sector,1496438
8435767060,Public Sector,266120
8460140011,Government,1236238
9682080221,Public Sector,1647294
8761694356,Private Sector,603073
9107783356,Public Sector,712185
9310639647,Private Sector,697676
7986546054,Private Sector,65846
8005096151,Private Sector,440967
7900249965,Private Sector,1859381
8086575312,Government,1229412
8378183818,Public Sector,
8789043820,Government,581144
9521612442,Government,1142483
9488975692,Private Sector,1744397
9710654745,Public Sector,1418295
9151604748,Private Sector,1350033
9877637900,Private Sector,1324248
8036486114,Private Sector,167930
8041555021,Private Sector,1512636
8893604800,Private Sector,833003
9377658241,Public Sector,1102050
9060337924,Public Sector,1828988
9177658242,Public Sector,1340776
8859865995,Private Sector,899537
8915140926,Public Sector,833019
8694489644,Public Sector,392209
8720001327,Public Sector,1262926
9220403200,Public Sector,776401
8273140425,Public Sector,1143959
8318477188,Private Sector,79006
8557350530,Private Sector,1499788
7989725758,Private Sector,1489532
9415740068,Private Sector,859679
9281802879,Private Sector,1368463
9100780418,Private Sector,1863122
9470066149,Public Sector,489509
8341013477,Private Sector,1797287
7945202157,Government,185168
8697188106,Private Sector,1582583
